net,length_um
_0415_,340.03
_0550_,339.74
_0091_,339.625
_0235_,339.14
_0281_,339.14
_0268_,338.2
_0434_,337.34
_0362_,336.98
_0457_,335.92
_0226_,334.26
clknet_4_15__leaf_clk,332.72
_0496_,332.64
_0549_,332.48
_0001_,332.14
_0491_,329.45
_0454_,329.34
_0239_,329.21
_0481_,327.76
_0413_,323.52
net40,323.26
_0429_,323.14
_0456_,322.98
_0450_,322.9
_0078_,322.51
_0237_,322.38
_0487_,322.3
_0247_,321.76
_0557_,320.29
Module1.outputC\[3\],319.325
_0080_,318.62
_0093_,318.36
_0025_,317.14
_0618_,316.68
_0052_,316.46
_0350_,315.64
net41,315.44
_0031_,315.1
_0508_,313.92
_0367_,313.44
_0273_,313.06
_0393_,312.92
_0336_,312.78
_0474_,312.37
_0444_,311.12
_0071_,310.82
Module2.RegisterFile\[1\]\[1\],309.96
_0419_,309.48
_0180_,309.35
_0302_,309.04
clknet_4_10__leaf_clk,307.84
_0172_,307.68
_0186_,307.66
_0263_,307.64
_0494_,307.16
clknet_4_6__leaf_clk,306.92
_0389_,306.82
_0037_,306.44
_0530_,306.44
_0034_,306.36
_0098_,305.06
_0003_,303.08
_0012_,302.06
_0272_,301.95
_0585_,301.88
_0578_,301.36
_0066_,299.04
_0605_,296.26
_0528_,296.12
_0282_,295.66
_0599_,293.76
_0244_,293.48
_0316_,293.16
_0108_,292.82
_0543_,292.18
_0412_,290.84
clknet_4_7__leaf_clk,290.84
_0113_,290.24
_0619_,290.04
_0068_,289.76
_0110_,289.1
clknet_4_8__leaf_clk,288.1
clknet_4_0__leaf_clk,287.735
_0242_,287.66
_0576_,285.3
_0477_,284.94
_0540_,284.48
_0286_,283.8
Module2.RegisterFile\[4\]\[2\],283.36
_0527_,283.16
_0100_,282.9
_0365_,282
clknet_4_4__leaf_clk,281.5
_0154_,280.58
_0346_,280.27
_0092_,279.06
_0547_,278.76
_0285_,276.85
_0011_,276.84
_0217_,273.76
_0271_,273.72
_0327_,273.62
_0384_,273.52
_0469_,273.32
clknet_4_11__leaf_clk,273.2
_0132_,271.76
_0171_,271.46
_0017_,270.56
net38,269.46
_0460_,266.74
_0284_,265.44
clknet_4_1__leaf_clk,265.435
Module2.RegisterFile\[19\]\[3\],264.76
_0287_,264.74
_0472_,262.56
_0151_,262.2
_0376_,262.18
_0448_,261.02
_0214_,260.64
_0476_,260.42
_0219_,258.6
_0013_,257.905
_0243_,257.5
_0105_,257.42
_0232_,257.2
_0459_,256.555
clknet_4_13__leaf_clk,255.14
_0552_,253.455
_0137_,253.425
_0062_,253.305
_0063_,252.32
_0467_,251.58
clknet_4_14__leaf_clk,251.36
_0559_,249.26
_0106_,248.88
_0462_,247.74
clknet_4_2__leaf_clk,246.44
_0617_,244.74
_0095_,244.26
_0114_,243.68
_0065_,243.46
_0292_,243.46
_0403_,242.52
_0146_,238.14
_0096_,234.1
_0449_,233.86
_0305_,231.62
_0055_,231.425
net39,230.3
_0185_,230.26
clknet_4_12__leaf_clk,229.86
_0414_,229.64
_0044_,229.32
_0539_,229.14
_0395_,229.02
_0558_,227.82
Module1.outputC\[0\],227.145
_0361_,227.12
_0388_,226.52
_0485_,225.08
_0162_,224.95
_0041_,224.44
_0160_,224.31
_0435_,224.22
_0111_,223.205
_0216_,219.33
_0032_,219.12
_0303_,217
_0018_,216.34
_0589_,216.12
_0238_,216
_0590_,214.8
_0421_,214.7
_0230_,212.1
_0036_,211.64
_0241_,211.32
_0277_,211.08
_0278_,210.84
_0433_,209.72
_0009_,209.405
_0486_,207.01
_0339_,205.28
clknet_4_3__leaf_clk,204.16
_0266_,203.06
_0387_,202.69
_0451_,202.16
_0553_,200.22
_0253_,200
_0259_,199.555
_0470_,199.48
_0370_,199.26
_0170_,198.14
_0089_,195.81
_0116_,194.12
Module1.outputC\[1\],193.48
_0240_,192.545
_0497_,192.16
_0584_,191.9
_0215_,191.24
_0319_,189.625
_0136_,189.525
_0109_,188.42
_0312_,187.9
_0568_,186.7
_0233_,186.24
_0574_,186.03
_0072_,185.36
_0390_,185.36
_0610_,184.76
_0602_,183.28
_0056_,182.58
_0518_,182.08
_0107_,181.7
_0307_,181.23
_0310_,179.82
_0104_,177.2
_0359_,177.04
_0606_,176
_0085_,175.72
_0288_,175.7
_0246_,172.22
_0179_,170.92
_0133_,170.805
_0119_,170.52
_0264_,169.62
_0588_,168.34
_0086_,167.58
_0379_,167.48
_0512_,167.46
_0439_,167.4
clknet_4_9__leaf_clk,166.725
_0015_,164.36
_0118_,163.9
_0289_,163.26
_0514_,161.97
_0544_,161.94
_0084_,160.2
_0325_,159.66
_0061_,159.28
_0267_,159.1
clknet_3_3_0_clk,158.45
_0587_,158.38
_0577_,158.2
_0353_,155.94
_0531_,155.5
_0394_,155.46
_0591_,155.12
_0117_,155.04
clknet_3_4_0_clk,154.34
_0213_,153.06
clknet_3_6_0_clk,152.97
_0471_,152.9
_0612_,151.38
clknet_3_5_0_clk,149.89
clknet_3_7_0_clk,149.89
_0058_,148.94
clknet_3_2_0_clk,148
_0128_,145.94
_0023_,145.28
_0260_,144.54
_0438_,144.5
_0309_,144.14
_0532_,143.88
_0424_,143.44
_0306_,141.1
_0130_,140.86
clknet_3_1_0_clk,139.87
_0592_,139.76
_0426_,139.7
_0425_,137.79
_0572_,136.34
_0603_,136.275
_0313_,134.82
_0081_,133.12
_0227_,131.1
_0269_,131
_0482_,129.96
_0601_,129.24
_0006_,128.04
_0201_,127.28
clknet_3_0_0_clk,127
_0270_,121.28
_0535_,119.36
_0064_,117.44
_0049_,116.525
_0304_,115.38
_0005_,114.32
_0521_,114.2
_0077_,112.44
_0489_,112.12
_0173_,110.845
_0279_,110.03
_0608_,109.6
_0337_,108.36
_0019_,108.08
_0131_,107.9
_0008_,104.92
_0465_,104.66
_0551_,101.635
_0479_,101.06
_0124_,98.96
_0026_,97.94
_0224_,97.72
_0016_,95.685
_0002_,93.52
_0615_,92.505
_0604_,92.48
_0579_,88.86
_0097_,88.5
_0030_,87.36
_0075_,85.62
_0155_,84.16
_0211_,81.32
_0331_,78.92
_0499_,78.86
_0088_,78.12
_0000_,77.88
_0484_,76.66
_0101_,66.78
_0569_,65.1
_0073_,55.74
_0021_,50
_0344_,41.42
_0027_,40.9
_0043_,37.26
