net,length_um
reg_file.memory\[10\]\[18\],7.075
_0414_,7.06
_0441_,7.06
_1515_,7.06
reg_file.memory\[5\]\[4\],7.06
_0080_,7.045
reg_file.memory\[10\]\[15\],7.04
_0190_,7.015
_0684_,7
_0601_,6.98
_1733_,6.98
reg_file.memory\[0\]\[12\],6.98
_0101_,6.96
_0819_,6.96
_0510_,6.94
reg_file.memory\[0\]\[14\],6.94
_0196_,6.925
_0894_,6.88
_0422_,6.86
seven_seg_conv.temp\[8\],6.86
_0048_,6.825
_0419_,6.82
reg_file.memory\[10\]\[16\],6.765
_0459_,6.76
_1048_,6.76
_1490_,6.76
_1567_,6.76
_1639_,6.76
_0692_,6.74
_0713_,6.74
_0830_,6.74
_0542_,6.72
_0913_,6.72
_0947_,6.72
_1380_,6.72
_1523_,6.72
_1564_,6.72
_1569_,6.72
_0082_,6.685
_0230_,6.685
_0554_,6.66
_0793_,6.64
_1078_,6.64
_1311_,6.64
_1728_,6.64
_0085_,6.62
_1275_,6.62
_0403_,6.6
seven_seg_conv.temp\[0\],6.6
_1359_,6.56
_0499_,6.54
reg_file.memory\[15\]\[17\],6.54
_0332_,6.52
_0455_,6.52
net5,6.52
_1506_,6.5
_0030_,6.485
_0074_,6.475
_0090_,6.465
_1157_,6.4
_0675_,6.38
_0038_,6.365
_0063_,6.365
_0083_,6.365
_0128_,6.365
_0179_,6.365
_0185_,6.365
_0210_,6.365
_1462_,6.32
_0756_,6.3
seven_seg_conv.temp\[11\],6.3
_0317_,6.28
_0987_,6.28
_1530_,6.28
_0617_,6.26
_0795_,6.26
_1354_,6.26
_1665_,6.26
_1686_,6.26
_0526_,6.24
_0047_,6.225
_0109_,6.225
_0810_,6.2
_1687_,6.2
_1204_,6.195
_0243_,6.18
_0900_,6.18
_1200_,6.18
_1262_,6.18
_1441_,6.18
_1558_,6.18
_1618_,6.18
_1633_,6.18
_1671_,6.18
_1707_,6.18
reg_file.memory\[25\]\[13\],6.18
_0202_,6.165
_0818_,6.16
_0926_,6.16
_0439_,6.14
_0445_,6.14
_0857_,6.14
_1432_,6.14
_1757_,6.14
_1519_,6.12
_0087_,6.08
_1553_,6.08
_1586_,6.08
seven_seg_conv.temp\[16\],6.08
_0228_,6.065
_0411_,6.06
_1037_,6.06
_1144_,6.06
_1736_,6.06
_1046_,6.04
_1491_,6.04
reg_file.memory\[15\]\[5\],6.04
seven_seg_conv.temp\[23\],6.04
_0062_,6.025
_0098_,6.005
_0233_,6.005
rst,5.97
_0107_,5.96
reg_file.memory\[5\]\[31\],5.96
reg_file.memory\[0\]\[6\],5.94
reg_file.memory\[25\]\[28\],5.94
_0397_,5.92
_0162_,5.905
_0103_,5.895
_0105_,5.895
_0693_,5.86
_0260_,5.84
_0622_,5.84
_1431_,5.84
reg_file.memory\[0\]\[28\],5.84
reg_file.memory\[25\]\[12\],5.84
_0326_,5.82
_0844_,5.82
reg_file.memory\[5\]\[1\],5.82
_0558_,5.81
_0043_,5.805
_0360_,5.8
_1237_,5.8
_1253_,5.8
_1307_,5.8
_1327_,5.8
_1660_,5.8
_0108_,5.765
_0147_,5.765
_0356_,5.74
_0553_,5.74
_1296_,5.74
_1330_,5.74
_1414_,5.74
_1536_,5.74
_1592_,5.74
seven_seg_conv.temp\[28\],5.73
_0207_,5.725
_1008_,5.72
_1080_,5.72
_1620_,5.72
_1651_,5.72
reg_file.memory\[0\]\[22\],5.72
reg_file.memory\[15\]\[25\],5.72
_0881_,5.7
_0451_,5.68
_1355_,5.68
_1739_,5.68
_0067_,5.62
_0174_,5.62
_0064_,5.605
_0096_,5.605
_0991_,5.6
_0323_,5.58
_0882_,5.58
_0887_,5.58
_1182_,5.56
_0003_,5.545
_0192_,5.545
_0876_,5.52
_0222_,5.505
reg_file.memory\[10\]\[8\],5.485
_0362_,5.48
_1435_,5.48
_1458_,5.48
reg_file.memory\[25\]\[20\],5.48
reg_file.memory\[25\]\[7\],5.48
seven_seg_conv.temp\[24\],5.48
_0306_,5.46
_1208_,5.46
_0548_,5.4
_1329_,5.4
reg_file.memory\[10\]\[6\],5.385
_0244_,5.38
_0738_,5.38
_1577_,5.38
_1727_,5.38
_1738_,5.38
seven_seg_conv.temp\[21\],5.38
_1388_,5.36
_0375_,5.34
_0518_,5.34
_0559_,5.34
_0760_,5.34
_1332_,5.34
_1601_,5.34
_1657_,5.34
_1658_,5.34
reg_file.memory\[25\]\[29\],5.34
_0114_,5.305
_1003_,5.28
_1297_,5.28
_0100_,5.265
_0169_,5.265
_0178_,5.265
_0319_,5.26
_0406_,5.26
_0572_,5.26
_1026_,5.26
_1137_,5.26
_1349_,5.26
_1551_,5.26
_1729_,5.26
_1731_,5.26
reg_file.memory\[0\]\[23\],5.26
_0251_,5.24
_0856_,5.24
_0710_,5.22
_0715_,5.22
_1570_,5.22
reg_file.memory\[15\]\[9\],5.16
_0132_,5.145
_0560_,5.14
_0573_,5.14
_1203_,5.14
_1260_,5.14
reg_file.memory\[10\]\[28\],5.125
_1133_,5.12
_0119_,5.045
reg_file.memory\[10\]\[3\],5.025
_0485_,5.02
_1101_,5.02
_1132_,5.02
_1342_,5.02
_0537_,4.94
_0994_,4.94
_0020_,4.92
_0331_,4.92
_0779_,4.92
_1022_,4.92
_1576_,4.92
_1611_,4.92
_0285_,4.9
_0234_,4.885
_0730_,4.88
_1031_,4.88
_1052_,4.88
_1635_,4.88
_1649_,4.88
_1656_,4.88
_1662_,4.88
_1679_,4.88
_1706_,4.88
_0225_,4.865
_0050_,4.845
_0117_,4.845
_0180_,4.845
_0809_,4.82
_1697_,4.82
_0142_,4.805
_0613_,4.8
_0687_,4.8
_1216_,4.8
_1396_,4.8
_1556_,4.8
_0250_,4.76
_0539_,4.76
_1542_,4.76
_1580_,4.76
_1732_,4.76
_1734_,4.76
_0115_,4.705
seven_seg_conv.temp\[9\],4.7
_0521_,4.68
_1623_,4.68
_1548_,4.66
_0058_,4.625
next,4.61
_0032_,4.605
_0018_,4.585
_0027_,4.585
_1197_,4.58
_1295_,4.58
_0203_,4.56
_0893_,4.56
_0924_,4.56
_1321_,4.56
_0001_,4.545
_1001_,4.54
_0200_,4.505
_0152_,4.485
_1385_,4.48
_0259_,4.46
_0293_,4.46
_0391_,4.46
_0878_,4.46
_0918_,4.46
_1098_,4.46
_1230_,4.46
_1629_,4.46
_1637_,4.46
_1696_,4.46
_0059_,4.435
_0000_,4.425
_1241_,4.42
_1401_,4.42
_1425_,4.42
_1645_,4.42
_1717_,4.42
_1730_,4.42
reg_file.memory\[25\]\[0\],4.42
_0216_,4.385
_1059_,4.36
_1229_,4.36
_0430_,4.34
_0642_,4.34
_0849_,4.34
_1215_,4.34
_1338_,4.34
_1351_,4.34
_1368_,4.34
_1655_,4.34
_1698_,4.34
reg_file.memory\[25\]\[3\],4.34
_0549_,4.32
_0075_,4.295
_0158_,4.24
_1129_,4.24
_1179_,4.22
_1500_,4.22
_0652_,4.2
_0041_,4.165
_0126_,4.125
_0950_,4.12
_1387_,4.08
_0023_,4.065
_1263_,4.02
_1430_,4.02
_0253_,4
_0315_,4
_0816_,4
_0915_,4
_0966_,4
_1176_,4
_1437_,4
_1546_,4
_1555_,4
_1602_,4
_1668_,4
_1561_,3.98
_0161_,3.975
_0188_,3.965
_0046_,3.925
_0150_,3.925
_0157_,3.925
_0218_,3.925
_0246_,3.9
_0249_,3.9
_0815_,3.9
_1737_,3.9
_0400_,3.88
_0477_,3.88
_0825_,3.88
_1309_,3.88
_1449_,3.88
_1532_,3.88
_1636_,3.88
_1682_,3.88
_1716_,3.88
_0195_,3.805
_0177_,3.785
_0089_,3.78
_0232_,3.78
_0236_,3.78
_0337_,3.78
seven_seg_conv.temp\[10\],3.78
_0070_,3.705
_0187_,3.705
_1440_,3.68
_0017_,3.585
_0199_,3.585
_0254_,3.56
_0262_,3.56
_1196_,3.56
_1266_,3.56
_0338_,3.54
_0467_,3.54
_1114_,3.54
_1124_,3.54
_1189_,3.54
_1317_,3.54
_1450_,3.54
_1582_,3.54
_1647_,3.54
_1691_,3.54
_0395_,3.52
_1615_,3.52
reg_file.memory\[25\]\[21\],3.52
_0078_,3.465
_0221_,3.465
_0255_,3.44
_1603_,3.44
_0245_,3.42
_0335_,3.42
_0630_,3.42
_0644_,3.42
_0646_,3.42
_0804_,3.42
_1040_,3.42
_1077_,3.42
_1180_,3.42
_1302_,3.42
_1511_,3.42
_1710_,3.42
_0191_,3.405
_0121_,3.345
_0127_,3.345
_1060_,3.32
seven_seg_conv.temp\[25\],3.32
_1343_,3.3
_0124_,3.295
_0052_,3.245
_0056_,3.245
_0138_,3.245
_0166_,3.245
_1014_,3.22
_1089_,3.22
_1207_,3.22
_1290_,3.22
_1541_,3.22
_0028_,3.175
_0057_,3.175
_0123_,3.175
_0125_,3.175
_0231_,3.175
_0029_,3.145
_1522_,3.14
_0570_,3.1
_0835_,3.1
_1198_,3.1
_1372_,3.1
_1434_,3.1
_0294_,3.08
_0346_,3.08
_0546_,3.08
_0948_,3.08
_1009_,3.08
_1178_,3.08
_1276_,3.08
_1340_,3.08
_1383_,3.08
_1560_,3.08
_1650_,3.08
_1681_,3.08
_1694_,3.08
_1726_,3.08
_0214_,3.075
_0156_,3.055
_1474_,3.045
_0044_,3.005
_0093_,3.005
_0102_,3.005
_0112_,3.005
_0640_,2.98
_0732_,2.98
_0624_,2.96
_0865_,2.96
_0946_,2.96
_0963_,2.96
_1005_,2.96
_1032_,2.96
_1034_,2.96
_1069_,2.96
_1131_,2.96
_1378_,2.96
_1406_,2.96
_1528_,2.96
_1591_,2.96
_1723_,2.96
net13,2.96
net15,2.96
_0155_,2.955
_0035_,2.885
_0206_,2.885
_0131_,2.88
_0159_,2.86
_0235_,2.86
_1245_,2.86
_1283_,2.86
_0571_,2.84
_1075_,2.84
_0135_,2.835
_0069_,2.785
_0116_,2.785
_0129_,2.785
_1255_,2.76
_1294_,2.76
_1537_,2.76
_0211_,2.715
_0237_,2.715
_0143_,2.705
_0357_,2.64
_0370_,2.64
_0563_,2.64
_1358_,2.64
seven_seg_conv.current_digit\[0\],2.64
_0015_,2.62
_0261_,2.62
_0358_,2.62
_0415_,2.62
_0653_,2.62
_1086_,2.62
_1135_,2.62
_1145_,2.62
_1248_,2.62
_1271_,2.62
_1482_,2.62
_1562_,2.62
_1565_,2.62
_1746_,2.62
_1514_,2.6
_0154_,2.585
_0175_,2.585
_0025_,2.545
_0042_,2.545
_0184_,2.545
_0217_,2.545
_0223_,2.545
_0227_,2.52
_0256_,2.52
_0278_,2.52
_0298_,2.52
_0635_,2.52
_0655_,2.52
_0705_,2.52
_0742_,2.52
_1399_,2.52
_1557_,2.52
_1624_,2.52
_1667_,2.52
_1714_,2.52
_0564_,2.5
_0979_,2.5
_0995_,2.5
_1186_,2.5
_1206_,2.5
_1299_,2.5
_1571_,2.5
_1632_,2.5
_0122_,2.495
_0055_,2.485
_0189_,2.485
_0106_,2.425
_0183_,2.42
_0212_,2.42
_0407_,2.4
_1160_,2.4
_1333_,2.4
_0110_,2.375
_0168_,2.375
_0204_,2.375
_0049_,2.325
_0051_,2.325
_0118_,2.325
_0134_,2.325
_0137_,2.325
_0198_,2.325
_0960_,2.3
_1212_,2.3
_1345_,2.3
_0014_,2.28
_0086_,2.255
_0215_,2.255
_0224_,2.255
_0513_,2.18
_1007_,2.18
_1045_,2.18
_1193_,2.18
_1270_,2.18
_1472_,2.18
_0267_,2.16
_0390_,2.16
_0531_,2.16
_0927_,2.16
_0997_,2.16
_1019_,2.16
_1062_,2.16
_1103_,2.16
_1285_,2.16
_1289_,2.16
_1335_,2.16
_1352_,2.16
_1419_,2.16
_1461_,2.16
_1464_,2.16
_1550_,2.16
_1604_,2.16
seven_seg_conv.current_digit\[3\],2.16
_0095_,2.125
_0140_,2.125
_0037_,2.085
_0045_,2.085
_0068_,2.085
_0076_,2.085
_0219_,2.085
_0024_,2.08
_0031_,2.08
_0637_,2.06
_1585_,2.06
_1596_,2.06
_1610_,2.06
_1619_,2.06
_1627_,2.06
_1643_,2.06
_1661_,2.06
_1664_,2.06
_1669_,2.06
_1719_,2.06
_1306_,2.055
_0456_,2.04
_0982_,2.04
_1219_,2.04
_1415_,2.04
_1457_,2.04
_1467_,2.04
_1547_,2.04
_1744_,2.04
net16,2.04
_0081_,2.035
_0053_,2.025
_0054_,2.025
_0072_,2.025
_0073_,2.025
_0077_,2.025
_0084_,2.025
_0092_,2.025
_0094_,2.025
_0136_,2.025
_0146_,2.025
_0171_,2.025
_0194_,2.025
_0205_,2.025
_0220_,2.025
_0349_,1.94
_0566_,1.94
_1672_,1.94
_1507_,1.92
_0153_,1.915
_0160_,1.915
_0165_,1.915
_0213_,1.915
_0079_,1.865
_0148_,1.865
_0151_,1.865
_0163_,1.865
_0167_,1.865
_0186_,1.865
_0201_,1.865
_0209_,1.865
_1172_,1.84
_1231_,1.84
_1390_,1.84
_1453_,1.84
_1471_,1.84
_1502_,1.84
_1533_,1.84
_1158_,1.83
_0396_,1.82
_0908_,1.82
_1282_,1.72
_1313_,1.72
_1413_,1.72
_0258_,1.7
_0325_,1.7
_0480_,1.7
_0528_,1.7
_0764_,1.7
_1028_,1.7
_1047_,1.7
_1074_,1.7
_1190_,1.7
_1223_,1.7
_1234_,1.7
_1278_,1.7
_1360_,1.7
_1494_,1.7
_1575_,1.7
_1666_,1.7
_1690_,1.7
_0061_,1.685
_1552_,1.6
_1642_,1.6
_1670_,1.6
_1673_,1.6
_0033_,1.575
_0060_,1.575
_0065_,1.575
_0133_,1.575
_0208_,1.575
_0552_,1.545
_0709_,1.48
_1300_,1.48
_0141_,1.405
_0149_,1.405
_1143_,1.38
_0431_,1.36
_1165_,1.36
_0421_,1.26
_1010_,1.26
_1447_,1.26
_1496_,1.26
_0389_,1.14
_0519_,1.14
_0596_,1.14
_0890_,1.14
_1000_,1.14
_1369_,1.14
_1508_,1.14
_1535_,1.14
_1566_,1.14
_1574_,1.14
_1612_,1.14
_1614_,1.14
_1616_,1.14
_1617_,1.14
_1621_,1.14
_1622_,1.14
_1625_,1.14
_1626_,1.14
_1630_,1.14
_1634_,1.14
_1638_,1.14
_1648_,1.14
_1678_,1.14
_1680_,1.14
_1695_,1.14
_1715_,1.14
_1720_,1.14
_1722_,1.14
_1725_,1.14
_1741_,1.14
seven_seg_conv.current_digit\[2\],1.02
_0383_,0.92
_0457_,0.92
_1055_,0.92
_1099_,0.92
_1128_,0.92
_1140_,0.92
_1154_,0.92
_1201_,0.92
_1205_,0.92
_1226_,0.92
_1251_,0.92
_1298_,0.92
_1331_,0.92
_1361_,0.92
_1455_,0.92
_1475_,0.92
_1483_,0.92
_1748_,0.92
_0632_,0.8
_1051_,0.8
_1152_,0.8
_0280_,0.46
_0928_,0.46
_0933_,0.46
_0953_,0.46
_1071_,0.46
_1559_,0.46
